2023-06-05 05:40:29.804 676:pos-tag                DEBUG  main message
2023-06-05 05:40:29.804 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 05:40:30.482 702:pos-tag                INFO   Load Dataset
2023-06-05 05:40:30.483 706:pos-tag                INFO   Num of Class 233
2023-06-05 05:40:33.379 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 05:40:33.380 746:pos-tag                INFO   pretrained the encoder
2023-06-05 05:40:35.212 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 05:40:35.213 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=2, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/2/layer_2', posratio=0.5, seed=289, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 05:40:35.213 185:pos-tag                INFO   save steps 1
2023-06-05 05:40:37.443 224:pos-tag                INFO   ***** Running training *****
2023-06-05 05:40:37.444 225:pos-tag                INFO     Num examples = 880
2023-06-05 05:40:37.444 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 05:40:37.444 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 05:40:37.444 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 05:40:37.444 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 05:40:37.445 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 05:40:38.805 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:40:38.805 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:40:38.806 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:40:41.559 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:40:41.559 408:pos-tag                INFO     eval_acc = 0.005
2023-06-05 05:40:41.559 408:pos-tag                INFO     eval_f1 = 0.0006
2023-06-05 05:40:41.559 408:pos-tag                INFO     eval_mcc = -0.0005
2023-06-05 05:40:41.559 408:pos-tag                INFO     eval_precision = 0.0022
2023-06-05 05:40:41.559 408:pos-tag                INFO     eval_recall = 0.0005
2023-06-05 05:40:41.560 300:pos-tag                INFO     ********************
2023-06-05 05:40:41.560 301:pos-tag                INFO     Best f1:0.0006
2023-06-05 05:40:41.560 302:pos-tag                INFO     ********************
2023-06-05 05:40:42.918 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_2/checkpoint-best-f1/model.bin
2023-06-05 05:40:43.427 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:40:43.427 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:40:43.427 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:40:45.719 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:40:45.720 408:pos-tag                INFO     eval_acc = 0.0054
2023-06-05 05:40:45.720 408:pos-tag                INFO     eval_f1 = 0.0007
2023-06-05 05:40:45.720 408:pos-tag                INFO     eval_mcc = -0.0004
2023-06-05 05:40:45.720 408:pos-tag                INFO     eval_precision = 0.0022
2023-06-05 05:40:45.720 408:pos-tag                INFO     eval_recall = 0.0005
2023-06-05 05:40:45.720 300:pos-tag                INFO     ********************
2023-06-05 05:40:45.720 301:pos-tag                INFO     Best f1:0.0007
2023-06-05 05:40:45.721 302:pos-tag                INFO     ********************
2023-06-05 05:40:47.201 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_2/checkpoint-best-f1/model.bin
2023-06-05 05:40:47.722 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:40:47.722 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:40:47.722 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:40:50.051 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:40:50.051 408:pos-tag                INFO     eval_acc = 0.0087
2023-06-05 05:40:50.051 408:pos-tag                INFO     eval_f1 = 0.001
2023-06-05 05:40:50.052 408:pos-tag                INFO     eval_mcc = 0.0018
2023-06-05 05:40:50.052 408:pos-tag                INFO     eval_precision = 0.0029
2023-06-05 05:40:50.052 408:pos-tag                INFO     eval_recall = 0.0008
2023-06-05 05:40:50.052 300:pos-tag                INFO     ********************
2023-06-05 05:40:50.052 301:pos-tag                INFO     Best f1:0.001
2023-06-05 05:40:50.052 302:pos-tag                INFO     ********************
2023-06-05 05:40:51.437 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_2/checkpoint-best-f1/model.bin
2023-06-05 05:40:51.437 322:pos-tag                INFO     ********************
2023-06-05 05:40:51.440 323:pos-tag                INFO     Best MCC:0.0018
2023-06-05 05:40:51.440 324:pos-tag                INFO     ********************
2023-06-05 05:40:52.799 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_2/checkpoint-best-mcc/model.bin
2023-06-05 05:40:53.337 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:40:53.337 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:40:53.337 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:40:56.058 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:40:56.058 408:pos-tag                INFO     eval_acc = 0.0168
2023-06-05 05:40:56.059 408:pos-tag                INFO     eval_f1 = 0.0019
2023-06-05 05:40:56.059 408:pos-tag                INFO     eval_mcc = 0.0082
2023-06-05 05:40:56.059 408:pos-tag                INFO     eval_precision = 0.0046
2023-06-05 05:40:56.059 408:pos-tag                INFO     eval_recall = 0.0016
2023-06-05 05:40:56.059 300:pos-tag                INFO     ********************
2023-06-05 05:40:56.060 301:pos-tag                INFO     Best f1:0.0019
2023-06-05 05:40:56.060 302:pos-tag                INFO     ********************
