2023-06-05 09:02:09.704 676:pos-tag                DEBUG  main message
2023-06-05 09:02:09.704 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 09:02:10.523 702:pos-tag                INFO   Load Dataset
2023-06-05 09:02:10.524 706:pos-tag                INFO   Num of Class 233
2023-06-05 09:02:14.281 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 09:02:14.282 746:pos-tag                INFO   pretrained the encoder
2023-06-05 09:02:17.474 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 09:02:17.474 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=9, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/3/layer_9', posratio=0.5, seed=12, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 09:02:17.475 185:pos-tag                INFO   save steps 1
2023-06-05 09:02:19.855 224:pos-tag                INFO   ***** Running training *****
2023-06-05 09:02:19.855 225:pos-tag                INFO     Num examples = 880
2023-06-05 09:02:19.856 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 09:02:19.856 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 09:02:19.856 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 09:02:19.856 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 09:02:19.856 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 09:02:21.696 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 09:02:21.697 359:pos-tag                INFO     Num examples = 293
2023-06-05 09:02:21.697 360:pos-tag                INFO     Batch size = 32
2023-06-05 09:02:24.585 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 09:02:24.586 408:pos-tag                INFO     eval_acc = 0.0066
2023-06-05 09:02:24.586 408:pos-tag                INFO     eval_f1 = 0.0012
2023-06-05 09:02:24.586 408:pos-tag                INFO     eval_mcc = 0.0028
2023-06-05 09:02:24.586 408:pos-tag                INFO     eval_precision = 0.0045
2023-06-05 09:02:24.586 408:pos-tag                INFO     eval_recall = 0.0067
2023-06-05 09:02:24.586 300:pos-tag                INFO     ********************
2023-06-05 09:02:24.587 301:pos-tag                INFO     Best f1:0.0012
2023-06-05 09:02:24.587 302:pos-tag                INFO     ********************
2023-06-05 09:02:26.371 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-f1/model.bin
2023-06-05 09:02:26.371 322:pos-tag                INFO     ********************
2023-06-05 09:02:26.371 323:pos-tag                INFO     Best MCC:0.0028
2023-06-05 09:02:26.372 324:pos-tag                INFO     ********************
2023-06-05 09:02:28.183 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-mcc/model.bin
2023-06-05 09:02:28.742 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 09:02:28.742 359:pos-tag                INFO     Num examples = 293
2023-06-05 09:02:28.742 360:pos-tag                INFO     Batch size = 32
2023-06-05 09:02:31.207 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 09:02:31.207 408:pos-tag                INFO     eval_acc = 0.0081
2023-06-05 09:02:31.207 408:pos-tag                INFO     eval_f1 = 0.0013
2023-06-05 09:02:31.208 408:pos-tag                INFO     eval_mcc = 0.0031
2023-06-05 09:02:31.208 408:pos-tag                INFO     eval_precision = 0.0048
2023-06-05 09:02:31.208 408:pos-tag                INFO     eval_recall = 0.0073
2023-06-05 09:02:31.208 300:pos-tag                INFO     ********************
2023-06-05 09:02:31.208 301:pos-tag                INFO     Best f1:0.0013
2023-06-05 09:02:31.208 302:pos-tag                INFO     ********************
2023-06-05 09:02:32.855 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-f1/model.bin
2023-06-05 09:02:32.855 322:pos-tag                INFO     ********************
2023-06-05 09:02:32.855 323:pos-tag                INFO     Best MCC:0.0031
2023-06-05 09:02:32.855 324:pos-tag                INFO     ********************
2023-06-05 09:02:34.770 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-mcc/model.bin
2023-06-05 09:02:35.324 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 09:02:35.325 359:pos-tag                INFO     Num examples = 293
2023-06-05 09:02:35.325 360:pos-tag                INFO     Batch size = 32
2023-06-05 09:02:37.768 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 09:02:37.769 408:pos-tag                INFO     eval_acc = 0.0106
2023-06-05 09:02:37.769 408:pos-tag                INFO     eval_f1 = 0.0015
2023-06-05 09:02:37.769 408:pos-tag                INFO     eval_mcc = 0.0029
2023-06-05 09:02:37.769 408:pos-tag                INFO     eval_precision = 0.0054
2023-06-05 09:02:37.769 408:pos-tag                INFO     eval_recall = 0.0082
2023-06-05 09:02:37.770 300:pos-tag                INFO     ********************
2023-06-05 09:02:37.770 301:pos-tag                INFO     Best f1:0.0015
2023-06-05 09:02:37.770 302:pos-tag                INFO     ********************
2023-06-05 09:02:39.837 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-f1/model.bin
2023-06-05 09:02:40.387 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 09:02:40.387 359:pos-tag                INFO     Num examples = 293
2023-06-05 09:02:40.388 360:pos-tag                INFO     Batch size = 32
2023-06-05 09:02:42.786 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 09:02:42.786 408:pos-tag                INFO     eval_acc = 0.0133
2023-06-05 09:02:42.787 408:pos-tag                INFO     eval_f1 = 0.0019
2023-06-05 09:02:42.787 408:pos-tag                INFO     eval_mcc = 0.0012
2023-06-05 09:02:42.787 408:pos-tag                INFO     eval_precision = 0.0058
2023-06-05 09:02:42.787 408:pos-tag                INFO     eval_recall = 0.0087
2023-06-05 09:02:42.787 300:pos-tag                INFO     ********************
2023-06-05 09:02:42.787 301:pos-tag                INFO     Best f1:0.0019
2023-06-05 09:02:42.787 302:pos-tag                INFO     ********************
2023-06-05 09:02:44.842 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-f1/model.bin
2023-06-05 09:02:45.370 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 09:02:45.370 359:pos-tag                INFO     Num examples = 293
2023-06-05 09:02:45.370 360:pos-tag                INFO     Batch size = 32
2023-06-05 09:02:47.657 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 09:02:47.657 408:pos-tag                INFO     eval_acc = 0.0207
2023-06-05 09:02:47.658 408:pos-tag                INFO     eval_f1 = 0.0026
2023-06-05 09:02:47.658 408:pos-tag                INFO     eval_mcc = 0.0038
2023-06-05 09:02:47.658 408:pos-tag                INFO     eval_precision = 0.0062
2023-06-05 09:02:47.658 408:pos-tag                INFO     eval_recall = 0.0075
2023-06-05 09:02:47.658 300:pos-tag                INFO     ********************
2023-06-05 09:02:47.658 301:pos-tag                INFO     Best f1:0.0026
2023-06-05 09:02:47.659 302:pos-tag                INFO     ********************
2023-06-05 09:02:49.348 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_9/checkpoint-best-f1/model.bin
2023-06-05 09:02:49.349 322:pos-tag                INFO     ********************
2023-06-05 09:02:49.349 323:pos-tag                INFO     Best MCC:0.0038
2023-06-05 09:02:49.349 324:pos-tag                INFO     ********************
