2023-06-05 08:27:38.373 676:pos-tag                DEBUG  main message
2023-06-05 08:27:38.374 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 08:27:39.183 702:pos-tag                INFO   Load Dataset
2023-06-05 08:27:39.185 706:pos-tag                INFO   Num of Class 233
2023-06-05 08:27:42.107 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 08:27:42.108 746:pos-tag                INFO   pretrained the encoder
2023-06-05 08:27:43.990 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 08:27:43.991 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=10, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/3/layer_10', posratio=0.5, seed=12, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 08:27:43.991 185:pos-tag                INFO   save steps 1
2023-06-05 08:27:45.550 224:pos-tag                INFO   ***** Running training *****
2023-06-05 08:27:45.550 225:pos-tag                INFO     Num examples = 880
2023-06-05 08:27:45.551 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 08:27:45.551 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 08:27:45.551 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 08:27:45.551 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 08:27:45.551 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 08:27:47.019 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 08:27:47.020 359:pos-tag                INFO     Num examples = 293
2023-06-05 08:27:47.020 360:pos-tag                INFO     Batch size = 32
2023-06-05 08:27:49.849 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 08:27:49.849 408:pos-tag                INFO     eval_acc = 0.0026
2023-06-05 08:27:49.850 408:pos-tag                INFO     eval_f1 = 0.001
2023-06-05 08:27:49.850 408:pos-tag                INFO     eval_mcc = -0.0039
2023-06-05 08:27:49.850 408:pos-tag                INFO     eval_precision = 0.0028
2023-06-05 08:27:49.850 408:pos-tag                INFO     eval_recall = 0.0017
2023-06-05 08:27:49.850 300:pos-tag                INFO     ********************
2023-06-05 08:27:49.850 301:pos-tag                INFO     Best f1:0.001
2023-06-05 08:27:49.850 302:pos-tag                INFO     ********************
2023-06-05 08:27:51.137 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_10/checkpoint-best-f1/model.bin
2023-06-05 08:27:51.680 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 08:27:51.681 359:pos-tag                INFO     Num examples = 293
2023-06-05 08:27:51.681 360:pos-tag                INFO     Batch size = 32
2023-06-05 08:27:54.104 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 08:27:54.104 408:pos-tag                INFO     eval_acc = 0.0035
2023-06-05 08:27:54.104 408:pos-tag                INFO     eval_f1 = 0.0011
2023-06-05 08:27:54.104 408:pos-tag                INFO     eval_mcc = -0.0043
2023-06-05 08:27:54.104 408:pos-tag                INFO     eval_precision = 0.0026
2023-06-05 08:27:54.104 408:pos-tag                INFO     eval_recall = 0.002
2023-06-05 08:27:54.105 300:pos-tag                INFO     ********************
2023-06-05 08:27:54.105 301:pos-tag                INFO     Best f1:0.0011
2023-06-05 08:27:54.105 302:pos-tag                INFO     ********************
2023-06-05 08:27:55.443 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_10/checkpoint-best-f1/model.bin
2023-06-05 08:27:55.992 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 08:27:55.993 359:pos-tag                INFO     Num examples = 293
2023-06-05 08:27:55.993 360:pos-tag                INFO     Batch size = 32
2023-06-05 08:27:58.466 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 08:27:58.467 408:pos-tag                INFO     eval_acc = 0.0077
2023-06-05 08:27:58.467 408:pos-tag                INFO     eval_f1 = 0.0014
2023-06-05 08:27:58.467 408:pos-tag                INFO     eval_mcc = -0.0027
2023-06-05 08:27:58.467 408:pos-tag                INFO     eval_precision = 0.0039
2023-06-05 08:27:58.467 408:pos-tag                INFO     eval_recall = 0.0033
2023-06-05 08:27:58.468 300:pos-tag                INFO     ********************
2023-06-05 08:27:58.468 301:pos-tag                INFO     Best f1:0.0014
2023-06-05 08:27:58.468 302:pos-tag                INFO     ********************
2023-06-05 08:27:59.942 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_10/checkpoint-best-f1/model.bin
2023-06-05 08:28:00.493 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 08:28:00.494 359:pos-tag                INFO     Num examples = 293
2023-06-05 08:28:00.494 360:pos-tag                INFO     Batch size = 32
2023-06-05 08:28:03.121 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 08:28:03.122 408:pos-tag                INFO     eval_acc = 0.0167
2023-06-05 08:28:03.122 408:pos-tag                INFO     eval_f1 = 0.002
2023-06-05 08:28:03.122 408:pos-tag                INFO     eval_mcc = 0.0028
2023-06-05 08:28:03.122 408:pos-tag                INFO     eval_precision = 0.005
2023-06-05 08:28:03.122 408:pos-tag                INFO     eval_recall = 0.0057
2023-06-05 08:28:03.122 300:pos-tag                INFO     ********************
2023-06-05 08:28:03.123 301:pos-tag                INFO     Best f1:0.002
2023-06-05 08:28:03.123 302:pos-tag                INFO     ********************
2023-06-05 08:28:04.636 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/3/layer_10/checkpoint-best-f1/model.bin
2023-06-05 08:28:04.636 322:pos-tag                INFO     ********************
2023-06-05 08:28:04.636 323:pos-tag                INFO     Best MCC:0.0028
