2023-06-05 18:01:08.736 676:pos-tag                DEBUG  main message
2023-06-05 18:01:08.736 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 18:01:09.470 702:pos-tag                INFO   Load Dataset
2023-06-05 18:01:09.472 706:pos-tag                INFO   Num of Class 233
2023-06-05 18:01:12.827 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 18:01:12.828 746:pos-tag                INFO   pretrained the encoder
2023-06-05 18:01:15.698 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 18:01:15.698 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=6, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/4/layer_6', posratio=0.5, seed=6, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 18:01:15.699 185:pos-tag                INFO   save steps 1
2023-06-05 18:01:17.714 224:pos-tag                INFO   ***** Running training *****
2023-06-05 18:01:17.714 225:pos-tag                INFO     Num examples = 880
2023-06-05 18:01:17.714 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 18:01:17.715 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 18:01:17.715 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 18:01:17.715 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 18:01:17.715 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 18:01:19.328 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 18:01:19.329 359:pos-tag                INFO     Num examples = 293
2023-06-05 18:01:19.329 360:pos-tag                INFO     Batch size = 32
2023-06-05 18:01:22.388 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 18:01:22.388 408:pos-tag                INFO     eval_acc = 0.0031
2023-06-05 18:01:22.388 408:pos-tag                INFO     eval_f1 = 0.0011
2023-06-05 18:01:22.388 408:pos-tag                INFO     eval_mcc = 0.0001
2023-06-05 18:01:22.388 408:pos-tag                INFO     eval_precision = 0.006
2023-06-05 18:01:22.389 408:pos-tag                INFO     eval_recall = 0.0019
2023-06-05 18:01:22.389 300:pos-tag                INFO     ********************
2023-06-05 18:01:22.389 301:pos-tag                INFO     Best f1:0.0011
2023-06-05 18:01:22.389 302:pos-tag                INFO     ********************
2023-06-05 18:01:23.890 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-f1/model.bin
2023-06-05 18:01:23.891 322:pos-tag                INFO     ********************
2023-06-05 18:01:23.891 323:pos-tag                INFO     Best MCC:0.0001
2023-06-05 18:01:23.892 324:pos-tag                INFO     ********************
2023-06-05 18:01:25.333 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-mcc/model.bin
2023-06-05 18:01:25.907 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 18:01:25.908 359:pos-tag                INFO     Num examples = 293
2023-06-05 18:01:25.908 360:pos-tag                INFO     Batch size = 32
2023-06-05 18:01:28.505 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 18:01:28.505 408:pos-tag                INFO     eval_acc = 0.0046
2023-06-05 18:01:28.506 408:pos-tag                INFO     eval_f1 = 0.0014
2023-06-05 18:01:28.506 408:pos-tag                INFO     eval_mcc = 0.0011
2023-06-05 18:01:28.506 408:pos-tag                INFO     eval_precision = 0.0066
2023-06-05 18:01:28.506 408:pos-tag                INFO     eval_recall = 0.0022
2023-06-05 18:01:28.506 300:pos-tag                INFO     ********************
2023-06-05 18:01:28.506 301:pos-tag                INFO     Best f1:0.0014
2023-06-05 18:01:28.506 302:pos-tag                INFO     ********************
2023-06-05 18:01:30.091 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-f1/model.bin
2023-06-05 18:01:30.092 322:pos-tag                INFO     ********************
2023-06-05 18:01:30.092 323:pos-tag                INFO     Best MCC:0.0011
2023-06-05 18:01:30.092 324:pos-tag                INFO     ********************
2023-06-05 18:01:31.905 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-mcc/model.bin
2023-06-05 18:01:32.440 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 18:01:32.440 359:pos-tag                INFO     Num examples = 293
2023-06-05 18:01:32.441 360:pos-tag                INFO     Batch size = 32
2023-06-05 18:01:34.931 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 18:01:34.932 408:pos-tag                INFO     eval_acc = 0.0089
2023-06-05 18:01:34.932 408:pos-tag                INFO     eval_f1 = 0.0022
2023-06-05 18:01:34.933 408:pos-tag                INFO     eval_mcc = 0.0043
2023-06-05 18:01:34.933 408:pos-tag                INFO     eval_precision = 0.0078
2023-06-05 18:01:34.933 408:pos-tag                INFO     eval_recall = 0.0037
2023-06-05 18:01:34.933 300:pos-tag                INFO     ********************
2023-06-05 18:01:34.934 301:pos-tag                INFO     Best f1:0.0022
2023-06-05 18:01:34.934 302:pos-tag                INFO     ********************
2023-06-05 18:01:36.696 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-f1/model.bin
2023-06-05 18:01:36.697 322:pos-tag                INFO     ********************
2023-06-05 18:01:36.697 323:pos-tag                INFO     Best MCC:0.0043
2023-06-05 18:01:36.697 324:pos-tag                INFO     ********************
2023-06-05 18:01:38.583 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_6/checkpoint-best-mcc/model.bin
2023-06-05 18:01:39.132 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 18:01:39.132 359:pos-tag                INFO     Num examples = 293
2023-06-05 18:01:39.133 360:pos-tag                INFO     Batch size = 32
2023-06-05 18:01:41.594 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 18:01:41.594 408:pos-tag                INFO     eval_acc = 0.0169
