2023-06-05 05:07:06.266 676:pos-tag                DEBUG  main message
2023-06-05 05:07:06.266 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 05:07:07.006 702:pos-tag                INFO   Load Dataset
2023-06-05 05:07:07.007 706:pos-tag                INFO   Num of Class 233
2023-06-05 05:07:09.958 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 05:07:09.958 746:pos-tag                INFO   pretrained the encoder
2023-06-05 05:07:12.174 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 05:07:12.174 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=3, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/2/layer_3', posratio=0.5, seed=289, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 05:07:12.175 185:pos-tag                INFO   save steps 1
2023-06-05 05:07:13.833 224:pos-tag                INFO   ***** Running training *****
2023-06-05 05:07:13.833 225:pos-tag                INFO     Num examples = 880
2023-06-05 05:07:13.833 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 05:07:13.834 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 05:07:13.834 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 05:07:13.834 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 05:07:13.834 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 05:07:15.317 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:07:15.318 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:07:15.318 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:07:18.205 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:07:18.206 408:pos-tag                INFO     eval_acc = 0.0087
2023-06-05 05:07:18.206 408:pos-tag                INFO     eval_f1 = 0.0008
2023-06-05 05:07:18.207 408:pos-tag                INFO     eval_mcc = 0.002
2023-06-05 05:07:18.207 408:pos-tag                INFO     eval_precision = 0.0018
2023-06-05 05:07:18.207 408:pos-tag                INFO     eval_recall = 0.0008
2023-06-05 05:07:18.208 300:pos-tag                INFO     ********************
2023-06-05 05:07:18.208 301:pos-tag                INFO     Best f1:0.0008
2023-06-05 05:07:18.208 302:pos-tag                INFO     ********************
2023-06-05 05:07:19.532 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_3/checkpoint-best-f1/model.bin
2023-06-05 05:07:19.533 322:pos-tag                INFO     ********************
2023-06-05 05:07:19.533 323:pos-tag                INFO     Best MCC:0.002
2023-06-05 05:07:19.533 324:pos-tag                INFO     ********************
2023-06-05 05:07:20.830 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/2/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 05:07:21.374 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 05:07:21.374 359:pos-tag                INFO     Num examples = 293
2023-06-05 05:07:21.374 360:pos-tag                INFO     Batch size = 32
2023-06-05 05:07:23.803 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 05:07:23.803 408:pos-tag                INFO     eval_acc = 0.0098
2023-06-05 05:07:23.803 408:pos-tag                INFO     eval_f1 = 0.0009
2023-06-05 05:07:23.804 408:pos-tag                INFO     eval_mcc = 0.0024
2023-06-05 05:07:23.804 408:pos-tag                INFO     eval_precision = 0.0018
2023-06-05 05:07:23.804 408:pos-tag                INFO     eval_recall = 0.0009
2023-06-05 05:07:23.804 300:pos-tag                INFO     ********************
2023-06-05 05:07:23.804 301:pos-tag                INFO     Best f1:0.0009
