2023-06-05 20:17:13.473 676:pos-tag                DEBUG  main message
2023-06-05 20:17:13.473 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 20:17:14.705 702:pos-tag                INFO   Load Dataset
2023-06-05 20:17:14.706 706:pos-tag                INFO   Num of Class 233
2023-06-05 20:17:18.089 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 20:17:18.090 746:pos-tag                INFO   pretrained the encoder
2023-06-05 20:17:20.511 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 20:17:20.511 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=2, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/4/layer_2', posratio=0.5, seed=6, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 20:17:20.513 185:pos-tag                INFO   save steps 1
2023-06-05 20:17:22.684 224:pos-tag                INFO   ***** Running training *****
2023-06-05 20:17:22.684 225:pos-tag                INFO     Num examples = 880
2023-06-05 20:17:22.685 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 20:17:22.685 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 20:17:22.686 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 20:17:22.686 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 20:17:22.686 238:pos-tag                INFO     Total optimization steps = 70
2023-06-05 20:17:24.450 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 20:17:24.451 359:pos-tag                INFO     Num examples = 293
2023-06-05 20:17:24.451 360:pos-tag                INFO     Batch size = 32
2023-06-05 20:17:27.413 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 20:17:27.414 408:pos-tag                INFO     eval_acc = 0.0136
2023-06-05 20:17:27.414 408:pos-tag                INFO     eval_f1 = 0.0026
2023-06-05 20:17:27.415 408:pos-tag                INFO     eval_mcc = 0.0105
2023-06-05 20:17:27.415 408:pos-tag                INFO     eval_precision = 0.009
2023-06-05 20:17:27.415 408:pos-tag                INFO     eval_recall = 0.0029
2023-06-05 20:17:27.415 300:pos-tag                INFO     ********************
2023-06-05 20:17:27.416 301:pos-tag                INFO     Best f1:0.0026
2023-06-05 20:17:27.416 302:pos-tag                INFO     ********************
2023-06-05 20:17:28.961 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_2/checkpoint-best-f1/model.bin
2023-06-05 20:17:28.961 322:pos-tag                INFO     ********************
2023-06-05 20:17:28.961 323:pos-tag                INFO     Best MCC:0.0105
2023-06-05 20:17:28.962 324:pos-tag                INFO     ********************
2023-06-05 20:17:30.482 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_2/checkpoint-best-mcc/model.bin
2023-06-05 20:17:31.029 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 20:17:31.029 359:pos-tag                INFO     Num examples = 293
2023-06-05 20:17:31.029 360:pos-tag                INFO     Batch size = 32
2023-06-05 20:17:33.467 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 20:17:33.467 408:pos-tag                INFO     eval_acc = 0.0147
2023-06-05 20:17:33.467 408:pos-tag                INFO     eval_f1 = 0.0028
2023-06-05 20:17:33.467 408:pos-tag                INFO     eval_mcc = 0.0114
2023-06-05 20:17:33.467 408:pos-tag                INFO     eval_precision = 0.0091
2023-06-05 20:17:33.467 408:pos-tag                INFO     eval_recall = 0.003
2023-06-05 20:17:33.468 300:pos-tag                INFO     ********************
2023-06-05 20:17:33.468 301:pos-tag                INFO     Best f1:0.0028
2023-06-05 20:17:33.468 302:pos-tag                INFO     ********************
2023-06-05 20:17:34.982 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/4/layer_2/checkpoint-best-f1/model.bin
