2023-06-04 23:35:27.124 676:pos-tag                DEBUG  main message
2023-06-04 23:35:27.125 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-04 23:35:27.885 702:pos-tag                INFO   Load Dataset
2023-06-04 23:35:27.890 706:pos-tag                INFO   Num of Class 233
2023-06-04 23:35:31.959 729:pos-tag                INFO   Finishing loading Dataset
2023-06-04 23:35:31.959 746:pos-tag                INFO   pretrained the encoder
2023-06-04 23:35:34.954 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-04 23:35:34.954 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=0, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/1/layer_0', posratio=0.5, seed=933, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-04 23:35:34.956 185:pos-tag                INFO   save steps 1
2023-06-04 23:35:37.045 224:pos-tag                INFO   ***** Running training *****
2023-06-04 23:35:37.046 225:pos-tag                INFO     Num examples = 880
2023-06-04 23:35:37.046 226:pos-tag                INFO     Num Epochs = 5
2023-06-04 23:35:37.046 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-04 23:35:37.047 231:pos-tag                INFO     Total train batch size = 64
2023-06-04 23:35:37.047 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-04 23:35:37.047 238:pos-tag                INFO     Total optimization steps = 70
2023-06-04 23:35:38.654 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 23:35:38.655 359:pos-tag                INFO     Num examples = 293
2023-06-04 23:35:38.655 360:pos-tag                INFO     Batch size = 32
2023-06-04 23:35:41.684 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 23:35:41.684 408:pos-tag                INFO     eval_acc = 0.0008
2023-06-04 23:35:41.684 408:pos-tag                INFO     eval_f1 = 0.0004
2023-06-04 23:35:41.684 408:pos-tag                INFO     eval_mcc = -0.0078
2023-06-04 23:35:41.685 408:pos-tag                INFO     eval_precision = 0.003
2023-06-04 23:35:41.685 408:pos-tag                INFO     eval_recall = 0.0003
2023-06-04 23:35:41.685 300:pos-tag                INFO     ********************
2023-06-04 23:35:41.693 301:pos-tag                INFO     Best f1:0.0004
2023-06-04 23:35:41.694 302:pos-tag                INFO     ********************
2023-06-04 23:35:43.283 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/1/layer_0/checkpoint-best-f1/model.bin
2023-06-04 23:35:43.822 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 23:35:43.822 359:pos-tag                INFO     Num examples = 293
2023-06-04 23:35:43.822 360:pos-tag                INFO     Batch size = 32
2023-06-04 23:35:46.154 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 23:35:46.154 408:pos-tag                INFO     eval_acc = 0.0011
2023-06-04 23:35:46.154 408:pos-tag                INFO     eval_f1 = 0.0005
2023-06-04 23:35:46.154 408:pos-tag                INFO     eval_mcc = -0.0081
2023-06-04 23:35:46.155 408:pos-tag                INFO     eval_precision = 0.0035
2023-06-04 23:35:46.155 408:pos-tag                INFO     eval_recall = 0.0004
2023-06-04 23:35:46.155 300:pos-tag                INFO     ********************
